route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
GREY,BA3MF,BA3PO__BA3MF,EAST - EDGEWOOD,0,BA3MF,BA3PO
GREY,BA3MF,9BA302__BA3MF,EAST - EDGEWOOD,0,BA3MF,7EBTSLRMN->
GREY,BA3MF,9BA303__BA3MF,WEST - PARKLAND COLLEGE,1,BA3MF,7W
BROWN,BA3MF,[@15.0.61662606@][10][1329152090685]/32__BA3MF,SAWGRASS - PARKLAND,0,BA3MF,[@15.0.61662606@]901
BROWN,BA3MF,[@15.0.61662606@][10][1329152209562]/36__BA3MF,SOUTHWOOD / COUNTRY FAIR / PARKLAND,0,BA3MF,[@15.0.61662606@]137
BROWN,BA3MF,[@15.0.61662606@][10][1329152229172]/37__BA3MF,SOUTHWOOD / COUNTRY FAIR / PARKLAND,0,BA3MF,[@15.0.61662606@]611
BROWN,BA3MF,[@15.0.61662606@][10][1329151655692]/6__BA3MF,SOUTHWOOD / COUNTRY FAIR / PARKLAND,0,BA3MF,[@15.0.61662606@]133
BROWN,BA3MF,[@15.0.61662606@][20][1329164163921]/7__BA3MF,PARKLAND COLLEGE,1,BA3MF,[@15.0.61662606@]366
BROWN,BA3MF,[@15.0.61662606@][10][1329151705537]/10__BA3MF,SOUTHWOOD / COUNTRY FAIR / PARKLAND,0,BA3MF,[@15.0.61662606@]364
GREY,BA3MF,3GR759__BA3MF,EAST - GUARDIAN WEST,0,BA3MF,7E NO EDGE
GREY,BA3MF,3GR760__BA3MF,WEST - PARKLAND COLLEGE,1,BA3MF,7W NO EDGE
BROWN,BA3MF,[@15.0.61662606@][20][1329164205016]/14__BA3MF,PARKLAND COLLEGE,1,BA3MF,[@15.0.61662606@]366
BROWN,BA3MF,[@15.0.61662606@][10][1329152012496]/29__BA3MF,SOUTHWOOD / COUNTRY FAIR,0,BA3MF,[@15.0.61662606@]622
BRONZE,BA3MF,[@15.0.63192037@][3][1337952572408]/6__BA3MF,EAST - YANKEE RIDGE,0,BA3MF,[@15.0.63192037@]3
BRONZE,BA3MF,[@14.0.51709163@][4][1277738462062]/2__BA3MF,WEST - CAMPUS,1,BA3MF,8W
BRONZE,BA3MF,[@15.0.63192037@][3][1337951976131]/2__BA3MF,EAST - YANKEE RIDGE,0,BA3MF,[@15.0.63192037@]1
BRONZE,BA3MF,[@14.0.51709163@][4][1277737126250]/0__BA3MF,WEST - CAMPUS,1,BA3MF,8W
BRONZE,BA3MF,[@14.0.51709163@][3][1277738203343]/0__BA3MF,EAST - LINCOLN SQUARE,0,BA3MF,8E
GREEN,5E#3 SHOW WED,[@35.0.26091081@][3][1168637075003]/2__5E#3_SHOW_WED,EAST - COUNTRY SQUIRE,0,5E#3 SHOW WED,GREEN 336
5E GREEN EXPRESS ALT,5E SHOW WED,[@14.0.56289009@][3][1314393437817]/0__5E_SHOW_WED,EAST - UNIVERSITY & GREEN,0,5E SHOW WED,[@14.0.56289009@]25
GOLD,RUB2SCH,[@7.0.41203042@][3][1246640216328]/0__RUB2SCH,EAST - EASTERN & PERKINS,0,RUB2SCH,GOLD 1
GOLD,RUB2SCH,[@7.0.41203042@][4][1246654664515]/1__RUB2SCH,WEST - RACE & IOWA,1,RUB2SCH,GOLD 1505
GOLD,RUB2SCH,[@7.0.41203042@][3][1246640216328]/1__RUB2SCH,EAST - EASTERN & PERKINS,0,RUB2SCH,[@15.0.63191692@]2
RUBY,RUB2SCH,[@15.0.64600293@][1][1339519267236]/8__RUB2SCH,NORTH - CUNNINGHAM,0,RUB2SCH,[@15.0.64600293@]1
RUBY,RUB2SCH,[@15.0.64600293@][2][1339519291486]/11__RUB2SCH,SOUTH - LINCOLN SQUARE,1,RUB2SCH,[@15.0.64600293@]2
RUBY,RUB2SCH,[@15.0.64600293@][1][1339519267236]/9__RUB2SCH,NORTH - CUNNINGHAM,0,RUB2SCH,[@15.0.64600293@]1
RUBY,RUB2SCH,[@15.0.64600293@][2][1339519291486]/12__RUB2SCH,SOUTH - LINCOLN SQUARE,1,RUB2SCH,[@15.0.64600293@]2
RUBY,RUB2SCH,[@15.0.64600293@][1][1339519267236]/10__RUB2SCH,NORTH - CUNNINGHAM,0,RUB2SCH,[@15.0.64600293@]1
RUBY,RUB2SCH,[@15.0.64600293@][2][1339519291486]/13__RUB2SCH,SOUTH - LINCOLN SQUARE,1,RUB2SCH,[@15.0.64600293@]2
RUBY,RUB2SCH,[@15.0.64600293@][1][1340052749691]/2__RUB2SCH,NORTH - CUNNINGHAM,0,RUB2SCH,[@15.0.64600293@]1
RUBY,RUB2SCH,[@15.0.64600293@][2][1340052703956]/0__RUB2SCH,SOUTH - LINCOLN SQUARE,1,RUB2SCH,[@15.0.64600293@]2
RUBY,RUB2SCH,[@15.0.64600293@][1][1340052749691]/3__RUB2SCH,NORTH - CUNNINGHAM,0,RUB2SCH,[@15.0.64600293@]1
RUBY,RUB2SCH,[@15.0.64600293@][2][1340052703956]/1__RUB2SCH,SOUTH - LINCOLN SQUARE,1,RUB2SCH,[@15.0.64600293@]2
RUBY EVENING,RUB2SCH,[@15.0.66063517@][2][1351536321366]/0__RUB2SCH,SOUTH - LINCOLN SQUARE,1,RUB2SCH,[@15.0.66063517@]6
RUBY EVENING,RUB2SCH,[@15.0.64613606@][1][1339515184324]/75__RUB2SCH,NORTH - CUNNINGHAM,0,RUB2SCH,[@15.0.64613606@]1
RUBY EVENING,RUB2SCH,[@15.0.64613606@][2][1339515200981]/90__RUB2SCH,SOUTH - LINCOLN SQUARE,1,RUB2SCH,[@15.0.64613606@]2
RUBY EVENING,RUB2SCH,[@15.0.64613606@][1][1339515184324]/79__RUB2SCH,NORTH - CUNNINGHAM,0,RUB2SCH,[@15.0.64613606@]1
